Date,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_15,C_16,C_17,C_18,C_19,C_20,C_21,C_22,C_23,C_24,C_25,C_26,C_27,C_28,C_29,C_30,C_31,C_32,C_33,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,C_72,C_73,C_74,C_75,C_76,C_77,C_78,C_79,C_80,C_81,C_82,C_83,C_84,C_85,C_86,C_87,C_88,C_89,C_90,C_91,C_92,C_93,C_94,C_95,C_96,C_97,C_98,C_99,C_100,C_101,C_102,C_103,C_104,C_105,C_106,C_107,C_108,C_109,C_110,C_111,C_112,C_113,C_114,C_115,C_116,C_117,C_118,C_119,C_120,C_121,C_122,C_123,C_124,C_125,C_126,C_127,C_128,C_129,C_130,C_131,C_132,C_133,C_134,C_135,C_136,C_137,C_138,C_139,C_140,C_141,C_142,C_143,C_144,C_145,C_146,C_147,C_148,C_149,C_150,C_151,C_152,C_153,C_154,C_155,C_156,C_157,C_158,C_159,C_160,C_161,C_162,C_163,C_164,C_165,C_166,C_167,C_168,C_169,C_170,C_171,C_172,C_173,C_174,C_175,C_176,C_177,C_178,C_179,C_180,C_181,C_182,C_183,C_184,C_185,C_186,C_187,C_188,C_189,C_190,C_191,C_192,C_193,C_194,C_195,C_196,C_197,C_198,C_199,C_200,C_201,C_202,C_203,C_204,C_205,C_206,C_207,C_208,C_209,C_210,C_211,C_212,C_213,C_214,C_215,C_216,C_217,C_218,C_219,C_220,C_221,C_222,C_223,C_224,C_225,C_226,C_227,C_228,C_229,C_230,C_231,C_232,C_233,C_234,C_235,C_236,C_237,C_238,C_239,C_240,C_241,C_242,C_243,C_244,C_245,C_246,C_247,C_248,C_249,C_250,C_251,C_252,C_253,C_254,C_255,C_256,C_257,C_258,C_259,C_260,C_261,C_262,C_263,C_264,C_265,C_266,C_267,C_268,C_269,C_270,C_271,C_272,C_273,C_274,C_275,C_276,C_277,C_278,C_279,C_280,C_281,C_282,C_283,C_284,C_285,C_286,C_287,C_288,C_289,C_290,C_291,C_292,C_293,C_294,C_295,C_296,C_297,C_298,C_299,C_300,C_301,C_302,C_303,C_304,C_305,C_306,C_307,C_308,C_309,C_310,C_311,C_312,C_313,C_314,C_315,C_316,C_317,C_318,C_319,C_320,C_321,C_322
2004-05-30,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,1,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-05-31,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,1,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-06-01,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,1,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-06-02,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,1,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-06-03,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,1,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-06-04,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,1,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-06-05,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,1,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-06-06,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,7,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-06-07,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,7,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
2004-06-08,3,1,1,1,1,2,1,1,2,,2,2,,2,2,1,2,1,3,2,2,2,2,1,1,1,2,2,5,1,1,2,1,1,1,2,2,2,2,1,2,1,1,2,,2,2,2,,2,2,1,1,2,1,7,1,2,2,1,1,,2,2,1,4,1,1,2,1,1,2,2,5,1,1,1,2,1,,4,4,1,2,2,2,1,1,1,3,3,5,2,1,1,1,1,,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,2,2,1,,1,4,1,2,1,7,1,,,1,1,,3,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,4,2,2,1,1,2,2,1,2,1,1,2,4,1,,2,4,1,3,1,1,,1,2,1,2,1,5,2,2,2,4,1,2,,2,,1,2,2,1,2,1,1,2,1,1,1,2,,1,1,1,2,1,1,2,2,2,1,1,2,6,2,2,1,1,1,1,2,1,2,,,1,2,2,,1,1,1,1,1,,3,,1,2,1,2,1,2,2,,1,,3,1,1,2,2,1,1,2,3,2,1,7,1,1,1,1,1,1,2,4,2,2,3,2,1,1,2,1,2,2
